region,bg_code,berufsgruppe,median_entgelt
Niedersachsen,634,"Veranstaltungsservice, -management",3.505
Niedersachsen,711,Geschäftsführung und Vorstand,7.476
Niedersachsen,713,Unternehmensorganisation und -strategie,5.334
Niedersachsen,714,Büro und Sekretariat,3.627
Niedersachsen,715,Personalwesen und -dienstleistung,4.992
Niedersachsen,721,Versicherungs- u. Finanzdienstleistungen,5.473
Niedersachsen,722,"Rechnungswesen, Controlling und Revision",4.743
Niedersachsen,723,Steuerberatung,3.547
Niedersachsen,732,Verwaltung,4.331
Niedersachsen,733,Medien-Dokumentations-Informationsdienst,4.093
Niedersachsen,811,Arzt- und Praxishilfe,2.921
Niedersachsen,813,"Gesundh.,Krankenpfl.,Rettungsd.Geburtsh.",4.242
Niedersachsen,817,Nicht ärztliche Therapie und Heilkunde,3.255
Niedersachsen,821,Altenpflege,3.730
Niedersachsen,822,"Ernährungs-,Gesundheitsberatung,Wellness",4.660
Niedersachsen,825,"Medizin-, Orthopädie- und Rehatechnik",3.102
Niedersachsen,831,"Erziehung,Sozialarb.,Heilerziehungspfl.",4.173
Niedersachsen,832,Hauswirtschaft und Verbraucherberatung,2.690
Niedersachsen,842,"Lehrt.berufsb.Fächer,betr.Ausb.,Betr.päd",4.798
